Tag,Event_name,Time,,,
Art,Focus on Visual Arts,,,,
Art,Focus on Arts Advocacy,,,,
Art,OCOP Arts Activations WeHo Park,,,,
Art,OCOP WeHo Park,,,,
Art,Summer Sounds: Jennifer Leitham,,,,
Art,OutSet,,,,
Art,Summer Sounds: M??Forr??,,,,
Art,Farmer's Market,,,,
Art,LA PRIDE Community Forum,,,,
Art,Summer Sounds: Beat Mosaic,,,,
Art,Transgender Advisory Board,,,,
Art,National Night Out,,,,
Art,Santa Monica + Robertson,,,,
Art,Summer Sounds: Zetz Klezmer,,,,
Art,Focus on Public Art,,,,
Art,LA PRIDE Community Forum,,,,
Art,Summer Sounds: Mark Christian Miller,,,,
Art,Hart Park Pop-up,,,,
Art,Puppet Theater on Wheels,,,,
Art,Children's Roundtable ,,,,
Art,Kids Fair,,,,
Art,Engage-A-Lot: Eastside Neighborhood Festival,,,,
Art,Focus on Teen Center,,,,
Art,Focus on Creative Businesses and Professionals,,,,
Art,Senior Advisory Board,,,,
Art,WeHo Reads @ Library Celebration,,,,
Art,"West Hollywood Chamber of Commerce, Government Affairs Committee",,,,
Art,Russian Arts & Culture Festival,,,,
Art,WeHo U,,,,
Art,Focus on Writers and Literary Arts,,,,
Art,Focus on LGBTQ Art and Artists,,,,
Art,Plummer Park Community Center,,,,
Art,Robertson and Beverly,,,,
Art,Route 66 Celebration,,,,
Art,Focus on Music and Musicians,,,,
Art,Russian Advisory Board,,,,
Art,Focus on the Russian-Speaking Community,,,,
Art,Night Pop-up @ Santa Monica and San Vicente,,,,
Art,Night Pop-up @ La Peer and San Vicente,,,,
Art,General Conversation on Arts & Culture @ Scrumptious Cafe,,,,
Dance,Modell Performing Arts Center at the Lyric,,,,
Dance,"National James Baldwin Literary Society, Inc./BMI",,,,
Dance,"Vagabond Players, Inc.",,,,
Dance,Baltimore Jazz Alliance,,,,
Dance,CityLit Project,,,,
Dance,Studiokafi Photography,,,,
Dance,New Mercury Readings ,,,,
Dance,Reginald Lewis Museum,,,,
Dance,Baltimore Dance Collective,,,,
Dance,Baltimore Theatre Project,,,,
Dance,Everyman Theatre,,,,
Dance,Bach Concert Series,,,,
Dance,Baltimore Architecture Foundation,,,,
Dance,"Seton Hill Associates, Inc.",,,,
Dance,"Contemporary Arts, Inc.",,,,
Dance,Charm City Dance Theatre,,,,
Dance,Community Concerts at Second,,,,
Dance,Eubie Blake Cultural Center,,,,
Dance,Daydreams and Nightmares Aerial Theatre,,,,
Dance,Nana Projects,,,,
Dance,Baltimore Symphony Orchestra,,,,
Dance,Maryland Historical Society,,,,
Dance,Unchained Talent,,,,
Dance,Amaranthine Musuem,,,,
Dance,Theatre Morgan,,,,
Dance,Port Discovery Children's Museum,,,,
Dance,Jewish Museum of Maryland,,,,
Dance,Maryland Institute College of Art,,,,
Dance,The Maryland Zoo in Baltimore,,,,
Dance,Dance Baltimore,,,,
Dance,Walters - Literary Arts Week ,,,,
Dance,Mount Clare Musum House,,,,
Dance,Hamilton Lauraville Main Street,,,,
Dance,Publishing Genius Press ,,,,
Dance,Greater Baltimore Cultural Alliance,,,,
Dance,"Baltimore Heritage, Inc.",,,,
Dance,The Maryland Science Center,,,,
Dance,Strand Theater Company,,,,
Dance,American Visionary Art Museum,,,,
Dance,Dance & Bmore,,,,
Dance,Cylburn Chamber Music Series,,,,
Dance,Baltimore Talent Education Center,,,,
Dance,Performance Theatre Workshop,,,,
Dance,Enoch Pratt Free Library ,,,,
Dance,Handel Choir of Baltimore,,,,
Dance,Waterfront Partnership,,,,
Dance,EMP Collective,,,,
Dance,"Carroll Museums, Inc.",,,,
Dance,"Audrey Herman Spotlighters Theatre, Inc.",,,,
Dance,Music for More/Drumming for the Song,,,,
Dance,Baltimore Museum of Industry,,,,
Dance,Baltimore Review ,,,,
Dance,B&O Railroad Museum,,,,
Dance,Theatre Action Group,,,,
Dance,The Star-Bangled Banner Flag House Museum,,,,
Dance,Contemporary Museum,,,,
Dance,Brick House Books ,,,,
Dance,"Arena Players, Inc.",,,,
Dance,Center Stage,,,,
Dance,Baltimore Clayworks,,,,
Dance,510 Readings ,,,,
Dance,Fleckenstein Gallery,,,,
Dance,"Visions Christian School of Etiquette and Dance, Inc.",,,,
Dance,Single Carrot Theatre,,,,
Dance,School 33 Art Center,,,,
Dance,Muse 360,,,,
Dance,Baltimore Classical Guitar Society,,,,
Dance,The National Aquarium in Baltimore,,,,
Dance,Homewood House,,,,
Dance,Black Cherry Puppet Theater,,,,
Dance,Baltimore Improv Group,,,,
Dance,Peabody Institute,,,,
Dance,The Walters Art Museum,,,,
Dance,The Baltimore Museum of Art,,,,
Dance,Current Space,,,,
Dance,Creative Alliance,,,,
Dance,ARTblocks,,,,
Dance,Hippodrome,,,,
Dance,Station North Art & Entertainment District,,,,
Dance,MD Humanities Council ,,,,
Coding,Securing Applications Without Compromising User Experience,,,,
Coding,Refresh Austin (Web Design & Development Meetup),,,,
Coding,Refresh Austin: SXSW kickoff lunch,,,,
Coding,[Cross-post] SXSW Web Developer Happy Hour 2016,,,,
Coding,5th Tuesday #BeerSummit!,,,,
Coding,Refresh Austin (Web Design & Development Meetup),,,,
Coding,Lightning Talks & #Prop1 Discussion,,,,
Coding,5th Tuesday #BeerSummit!,,,,
Coding,Refresh Austin: Javascript edition,,,,
Coding,Refresh Austin (Web Design & Development Meetup),,,,
Coding,Style Guide Driven Development and Custom CSS Properties,,,,
Coding,Refresh Austin (Web Design & Development Meetup),,,,
Coding,Refresh Austin (Web Design & Development Meetup),,,,
Coding,No Meetup November: GO VOTE,,,,
Coding,5th Tuesday #beersummit: November Edition,,,,
Coding,"Co-Founders January Pitches ""Keynote speaker Kevin Koym - Founder of TechRanch""",,,,
Coding,"Co-Founders February Pitches ""Keynote speaker Jason Seats -Partner at Techstars""",,,,
Coding,"Co-Founders March Pitches ""Keynote speaker Rudy Garza - Founder at G51""",,,,
Coding,"Co-Founders April Pitches ""Keynote speaker ""Joshua Baer - Capital Factory""",,,,
Coding,"Co-Founders May Pitches ""CTAN Panel of Investors"" FREE",,,,
Coding,Tech Taco Pitch Demo Day,,,,
Coding,"Co-Founders June Pitches ""Keynote speaker Thom Singer""",,,,
Coding,"Co-Founders July Pitches ""Keynote speaker Jan Triplett - Founder of BSC""",,,,
Coding,"Co-Founders August Pitches ""Keynote speaker Jason Finkelman on Tech Immigration""",,,,
Coding,"Tech Taco Pitch Demo Day! Keynote "" Paul O'Brien""",,,,
Coding,Tech Innovation Party - By The Tech^Map,,,,
Coding,"Co-Founder Austin September Pitches & Keynote ""Gary Smyth"" CEO of Sales Elite",,,,
Coding,"CoFounders StartupWeek Oct ""Keynote speaker Brett Hurt - founder of Bazaarvoice""",,,,
Coding,"Co-Founder November Pitches Keynote ""Roberto Walter Fiebig"" CEO ""The LFIV Group""",,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,The Austin Python Meetup Monthly Meetup,,,,
Coding,An Evening of Python Coding,,,,
Coding,Watch the Pint Drop New Years Eve Bash,,,,
Coding,Intellectual Property For The Startup and Small Business,,,,
Coding,Chili's 45th & Lamar,,,,
Coding,Nerd Nite Austin,,,,
Coding,Board Game Happy Hour!,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,Crowdfunding for Entrepreneurs & Investors: Raising Investment and Investing in,,,,
Coding,Nerd Nite Austin,,,,
Coding,Vigilante Valentines Masquerade Party!,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,Board Game Happy Hour!,,,,
Coding,Nerd Nite Austin,,,,
Coding,30 proven growth hacking methods for your startup in real-time,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,Board Game Happy Hour!,,,,
Coding,Adult Night @ Mt. Playmore (BYOB),,,,
Coding,Nerd Nite Austin,,,,
Coding,Board Game Happy Hour!,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,Adult Night @ Mt. Playmore (BYOB),,,,
Coding,"May the 4th be with you, Star Wars Pub Quiz!",,,,
Coding,Nerd Nite Austin,,,,
Coding,Board Game Happy Hour!,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,90's Adult Night @ Mt. Playmore (BYOB),,,,
Coding,Free Comedy Show: When We Were Young,,,,
Coding,Lets be Spies! Perplexium Puzzle Room,,,,
Coding,Nerd Nite Austin,,,,
Coding,Board Game Happy Hour!,,,,
Coding,Adult Night @ Mt. Playmore (BYOB),,,,
Coding,FREE COMEDY SHOW: When We Were Young,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,Hearthstone Fireside Gathering @ Mister Tramps,,,,
Coding,"Nothing to Marvel at, a DC Pub Quiz",,,,
Coding,Nerd Nite Austin,,,,
Coding,FREE COMEDY SHOW: GOOD VIBES,,,,
Coding,Board Game Happy Hour!,,,,
Coding,Adult Night @ Mt. Playmore (BYOB),,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,FREE COMEDY SHOW: When We Were Young,,,,
Coding,Nerd Nite Austin,,,,
Coding,Board Game Happy Hour!,,,,
Coding,Free Comedy: Peep Show,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,Adult Night @ Mt. Playmore (BYOB),,,,
Coding,Free Comedy: When We Were Young,,,,
Coding,Free Comedy & Storytelling @ Back 2 School Night!,,,,
Coding,Free Comedy: Peep Show @ Spiderhouse,,,,
Coding,FREE STORY TELLING SHOW: THE LISTENING ROOM,,,,
Coding,Nerd Nite Austin,,,,
Coding,FREE COMEDY SHOW: GOOD VIBES,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,Board Game Happy Hour!,,,,
Coding,Adult Night @ Mt. Playmore (BYOB) Ladies Night,,,,
Coding,Quizinga Big Bang Theory Pub Quiz,,,,
Coding,COMEDY SHOW! When We Were Young(FREE BEER),,,,
Coding,THE LISTENING ROOM: Free Story Telling Show ,,,,
Coding,Nerd Nite Austin,,,,
Coding,FREE COMEDY SHOW : Ground Floor,,,,
Coding,QS World MBA & QS World Grad School Tour,,,,
Coding,Board Game Happy Hour!,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,Night of 1000 Zombies!,,,,
Coding,Heroes & Harlots Halloween Bash!,,,,
Coding,Cheap Comedy Show!,,,,
Coding,COMEDY SHOW: When We Were Young (FREE BEER),,,,
Coding,Nerd Nite Austin,,,,
Coding,FREE COMEDY SHOW: GOOD VIBES,,,,
Coding,FREE COMEDY SHOW : (Ground Floor),,,,
Coding,Wrap Up- Smoke Hookah and Watch comedy,,,,
Coding,The Listening Room: Live Podcast/Storytelling Show,,,,
Coding,The Panel Show First Anniversary and Food Drive,,,,
Coding,"Bounce House. Cheap Stand-up Comedy, cheap drinks. Free for Service Industry!",,,,
Coding,Board Game Happy Hour!,,,,
Coding,DRINK UP! FREE COMEDY SHOWCASE ON RAINEY STREET!,,,,
Coding,Werewolves of the Dark Arts ('Mafia') @ Whose Turn Is It? Games (S. Austin),,,,
Coding,FREE COMEDY: Peep Show @ Spider House,,,,
Coding,Feb: Getting Unstuck - Solving Pressing Problems & Moving Your Venture Forward,,,,
Coding,SXSW Social,,,,
Coding,"""Fundraising Insights Straight from the Trenches"" by Tony Aguilar",,,,
Coding,Built In Brews at Facebook,,,,
Coding,Built In Brews at Signpost,,,,
Coding,Built In Austin's Fastest Growing Tech Companies,,,,
Coding,Built In Brews at OwnLocal,,,,
Coding,Built In Brews at TrendKite,,,,
Coding,Built In Austin's Summer Startup Connect,,,,
Coding,Built In Brews at OutboundEngine,,,,
Coding,Built In Brews at WeWork,,,,
Coding,Startup Connect (Austin Startup Week),,,,
Coding,Built In Brews at Shopgate,,,,
Coding,Intro to Fundraising in Austin and Ask Me Anything with Joshua Baer,,,,
Coding,Intro to Austin Accelerators and Ask Me Anything with Joshua Baer,,,,
Coding,Intro to the Austin Startup Scene & #AMA with Joshua Baer & Damon Clinkscales,,,,
Coding,Intro to the Austin Startup Scene Happy Hour!,,,,
Coding,Intro to Angel Investing in Austin & Ask Me Anything: Joshua Baer & Rick Timmins,,,,
