Agency Sponsor,Title,Short Description,Start Date/Time,End Date/Time,State,Details,Contact Name,Phone,Contact Email,Web Link,Calendar Link,Map Location,City,Audience Type,Registration Deadline
,Business Expo West,"Meet Business Leaders, Renowned Experts, and Make Connections to 
Grow your business at Business Expo West. ",04/05/2018 12:00:00 AM,,,,,,,https://besthq.net/business-expo-west,,"Tektronix, Bldg. 38 13600 SW Terman Rd
Beaverton, OR 97005", Beaverton,,
Human Services Department,Oregon Employer Council BOLI Lunch and Learn,"2 BOLI seminars and Oregon Employer Council Luncheon:
10:00 AM Harassment Seminar
12:00 PM Lunch and OEC Lane Discussion
1:00 PM Oregon's Equal Pay Law
2.0 HRCI and SHRM credits pending",03/01/2018 10:00:00 AM,03/01/2018 03:00:00 PM,Oregon,"The Lunch & Learn will include presentations on two extremely topical HR topics presented by Bureau of Labor and Industries (BOLI), full details below.  You will also learn about the Oregon Employer Council, the benefits a local OEC chapter can bring, and how to get involved in rebuilding the Lane County OEC chapter.  Membership to OEC is free, and by joining and supporting your local council, you can make a difference in local employment and training issues, and create a vital link between business, education, government, and the workforce. 

WorkSource Oregon Lane
2510 Oakmont Way
Eugene, OR 97401
",Greg Ivers,503-947-5403,gregory.e.ivers@state.or.us,https://laneoecmarch2018.eventbrite.com,,"2510 Oakmont Way
Eugene, OR 97401", Eugene,Business Owners,02/26/2018 04:00:00 PM
Secretary of State,La Grande basics notary public seminar,Free training to become a notary,05/30/2018 09:00:00 AM,05/30/2018 12:00:00 PM,Oregon,"Brush up your notary knowledge and get the answers to your questions by attending a seminar for current and future notaries public. This seminar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. What's more, this is your chance to talk to the state agency that regulates notaries, and participate in lively discussions about procedures, practices, and notary law. ",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Coos Bay advanced notary public seminar,,,,,,,,,,,,,,
Transportation Department,Meet The Primes Speednetworking Event,DBE Subcontractors are invited to this Opportunity to Build Relationships with A&E Prime Contractors. ,03/06/2018 09:00:00 AM,03/06/2018 12:00:00 PM,Oregon,"OREGON DEPARTMENT OF TRANSPORTATION
ASHLAND CONFERENCE ROOM
3930 FAIRVIEW INDUSTRIAL DRIVE SE
SALEM, OREGON  97302 
 
•	One-On-One interview sessions with A&E Prime Contractors
•	List of upcoming opportunities, contact information, typical clients and types of project the primes normally target.
    
This event is designed to help A&E primes build relationships with qualified DBE subs that will help the primes meet established project goals. 

DBE firms registering will be screened and expected to bring firm descriptions, services provided, references and contact information, ODOT certifications, insurance capabilities and projects their firm has completed. 

Target Subconsultant Specialties: 
1.	Geotechnical
2.	Survey
3.	Public Involvement
4.	Environmental Consulting
5.	Engineering
6.	Civil Engineering
7.	Drafting
8.	Endangered Species Act (ESA) Documentation
9.	Archeological, Historical & Cultural
10.	Right-Of-Way
11.	Landscape Architecture, Streetscape & Urban Design
12.	Quality Control (independent checks)
13.	Construction Inspection
14.	Traffic Studies & Design
15.	Urban & Streetscape Design
",Codi Trudell,503-986-4355,OCRPrograms@odot.state.or.us,Eventbrite Registration Link (https://www.eventbrite.com/e/odot-acec-meet-the-primes-speed-networking-event-tickets-43012234752),,, Salem,Business Owners,03/05/2018 05:00:00 PM
,Get Certified / Meet the Primes,"Sponsored by Skanska

Join us on March 9th, 2018 to meet public agencies with unique opportunities for certified firms.

Register on Eventbrite.
",03/09/2018 09:30:00 AM,03/09/2018 01:00:00 PM,,"•Prequalify with prime contractors to maximize opportunities available for certified firms

•Prepare for current and future projects

•Understand how to streamline your state certification

•Maximize state certifcations through unique public contracts

•Understand how state certification helps you grow your business
",,,info.orcpp@oregon.gov,Eventbrite page (https://www.eventbrite.com/e/get-certified-meet-the-primes-registration-42995395385),,"731 North Hayden Meadows Drive
Portland, Oregon 97217",,,
Consumer & Business Services Department,"OSHA Training Course, Spanish - Day 1",This course is intended to provide construction workers general awareness on recognizing and preventing hazards on a construction site.,03/16/2018 01:00:00 PM,03/16/2018 05:00:00 PM,,,Kimberly Moore ,503-288-1211,kimberly@mcip-pdx.org,http://www.mcip-pdx.org/,,"2808 NE MLK Jr. Blvd, Suite D
Portland, OR 97212", Portland,,
Consumer & Business Services Department,"10 Hour OSHA Train, Spanish - Day 2",This course is intended to provide construction workers general awareness on recognizing and preventing hazards on a construction site.,03/17/2018 08:00:00 AM,03/17/2018 02:00:00 PM,,,Kimberly Moore ,503-288-1211,kimberly@mcip-pdx.org,http://www.mcip-pdx.org/,,"2808 NE MLK Jr Blvd, Suite D
Portland, Or 97212", Portland,,
Governor's Office,Governor's Marketplace,"Training, information and resources for entrepreneurs to contract with government. Meet purchasing agents who want to buy what you're selling.",03/21/2018 12:30:00 PM,03/22/2018 04:00:00 PM,Oregon,"Small Business training, information and resources, including networking opportunities with purchasing agents.",Eloisa Milles,503-378-4582,Eloisa.Miller@oregon.gov,https://www.eventbrite.com/e/2018-governors-marketplace-conference-two-day-event-registration-35799205387,,"200 Commercial St. SE
Salem, OR 97301", Salem,"Minority, Women, Emerging Small Businesses",03/16/2018 05:00:00 PM
Secretary of State,La Grande advanced notary public seminar,Free advanced training for current notaries ONLY,05/30/2018 01:30:00 PM,05/30/2018 04:40:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
