Event Title,Type of Event,Street or Intersection,City or Placename,Zip code,Date,Location 1
Focus on Visual Arts,Living Room Session,825 N LA CIENEGA,LOS ANGELES,90069,12/14/2016 0:00,"825 N LA CIENEGA
LOS ANGELES, CA 90069
(34.086013, -118.376797)"
Focus on Arts Advocacy,Living Room Session,8716 SUNSET PLAZA PLACE,LOS ANGELES,90069,10/15/2016 0:00,"8716 SUNSET PLAZA PLACE
LOS ANGELES, CA 90069
(34.099161, -118.37998)"
OCOP Arts Activations WeHo Park,Arts & Culture Pop-up,647 N SAN VICENTE BOULEVARD,WEST HOLLYWOOD,90069,6/4/2016 0:00,"647 N SAN VICENTE BOULEVARD
WEST HOLLYWOOD, CA 90069
(34.082412, -118.384369)"
OCOP WeHo Park,The Plan @ WeHo Arts Event,647 N SAN VICENTE BOULEVARD,WEST HOLLYWOOD,90069,6/21/2016 0:00,"647 N SAN VICENTE BOULEVARD
WEST HOLLYWOOD, CA 90069
(34.082489, -118.384209)"
Summer Sounds: Jennifer Leitham,The Plan @ WeHo Arts Event,8300 SANTA MONICA BOULEVARD,WEST HOLLYWOOD,90069,6/26/2016 0:00,"8300 SANTA MONICA BOULEVARD
WEST HOLLYWOOD, CA 90069
(34.093891, -118.370659)"
OutSet,The Plan @ WeHo Arts Event,625 N SAN VICENTE BOULEVARD,WEST HOLLYWOOD,90069,6/29/2016 0:00,"625 N SAN VICENTE BOULEVARD
WEST HOLLYWOOD, CA 90069
(34.081755, -118.383936)"
Summer Sounds: M??Forr??,The Plan @ WeHo Arts Event,7377 SANTA MONICA BOULEVARD,WEST HOLLYWOOD,90069,7/10/2016 0:00,"7377 SANTA MONICA BOULEVARD
WEST HOLLYWOOD, CA 90069
(34.091746, -118.350949)"
Farmer's Market,Arts & Culture Pop-up,7332 FOUNTAIN AVENUE,WEST HOLLYWOOD,90069,7/18/2016 0:00,"7332 FOUNTAIN AVENUE
WEST HOLLYWOOD, CA 90069
(34.094342, -118.351489)"
LA PRIDE Community Forum,Arts & Culture Pop-up,647 N SAN VICENTE BOULEVARD,WEST HOLLYWOOD,90069,7/20/2016 0:00,"647 N SAN VICENTE BOULEVARD
WEST HOLLYWOOD, CA 90069
(34.082346, -118.384219)"
Summer Sounds: Beat Mosaic,The Plan @ WeHo Arts Event,7377 SANTA MONICA BOULEVARD,WEST HOLLYWOOD,90069,7/24/2016 0:00,"7377 SANTA MONICA BOULEVARD
WEST HOLLYWOOD, CA 90069
(34.091547, -118.350931)"
